Timestamp,How often do you visit a petrol pump?,What type of vehicle do you usually refuel? ,"During your last visit, how long did you wait at the petrol pump? ",What problems do you commonly face at petrol pumps? ,How confident are you that you receive the correct fuel quantity? ,Which payment method do you mostly prefer at petrol pumps? ,Are you aware that IndianOil has an official mobile application? ,"If you don’t use the IndianOil app, what is the main reason? ",Which features would you like in a petrol pump mobile app? ,Would you use an IndianOil app if it reduced waiting time and increased transparency? ,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours
2026-01-25 23:17:50-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:31:29-05:30,Rarely,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Complaint & feedback system,Maybe,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2026-01-25 23:37:46-05:30,2-3 times a week,Two-wheeler,10-15 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Advance slot booking during peak hours,Definitely Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-01-25 23:41:14-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,UPI,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:50:44-05:30,Once a week,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,Debit/Credit Card,"Yes, but I don’t use it",Didn’t know about it,Live queue/waiting time information,Maybe,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-25 23:54:54-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-25 23:57:20-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation,Definitely Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-25 23:58:37-05:30,2-3 times a month,Four-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Debit/Credit Card,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-26 00:00:25-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information,Definitely Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-26 00:07:36-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",App feels complicated,Advance slot booking during peak hours;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,0,0,1,1,1,1,1,0,0,1,1,1,1
2026-01-26 00:12:32-05:30,Rarely,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Loyalty points/rewards,Definitely Yes,0,1,1,1,1,0,0,0,1,1,1,1,0,0
2026-01-26 00:13:43-05:30,Rarely,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Fuel price & quantity transparency;Complaint & feedback system,Maybe,1,1,1,0,0,1,0,1,1,1,0,0,1,0
2026-01-26 00:23:21-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information,Definitely Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-26 00:27:51-05:30,Once a week,Two-wheeler,10-15 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,,Definitely Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26 00:32:50-05:30,2-3 times a week,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,0,0,1,0,1,0,1,0,0,1,0,1,0
2026-01-26 00:42:13-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system,Not sure,1,1,1,0,1,1,0,1,1,1,0,1,1,0
2026-01-26 00:45:14-05:30,2-3 times a month,Two-wheeler,5-10 Minutes,Long waiting queues,3.0,Cash,"Yes, but I don’t use it",App feels complicated,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-26 00:57:56-05:30,Rarely,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Cash,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,0,1,0,0,0,1,1,0,1,0,0,0
2026-01-26 01:34:54-05:30,2-3 times a month,Multiple,Less Than 5 Minutes,Long waiting queues,1.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,0,1,1,1,1,1,1,0,1,1
2026-01-26 02:15:25-05:30,Once a week,Multiple,5-10 Minutes,Long waiting queues,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Maybe,1,0,1,1,0,1,0,1,0,1,1,0,1,0
2026-01-26 02:15:42-05:30,Once a week,Two-wheeler,5-10 Minutes,Confusion about payment (cash/UPI/card),2.0,Combination (Depends on situation),"Yes, but I don’t use it",App does not offer useful features,Advance slot booking during peak hours,Definitely Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-01-26 02:54:34-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Poor staff behavior or communication,3.0,UPI,"No, I wasn’t aware",I prefer Google Maps/other apps,Nearest petrol pump navigation;Complaint & feedback system,Not sure,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2026-01-26 03:51:36-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Digital payment with receipt history;Loyalty points/rewards,Definitely Yes,0,0,1,1,1,0,0,0,0,1,1,1,0,0
2026-01-26 03:57:36-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency,Definitely Yes,1,1,1,0,1,0,0,1,1,1,0,1,0,0
2026-01-26 04:47:07-05:30,2-3 times a week,Multiple,5-10 Minutes,No clear queue or traffic management,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,0,1,1,0,1,1,1,0,1,1,0,1,1
2026-01-26 05:33:52-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-26 07:07:32-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Maybe,1,1,0,1,1,0,1,1,1,0,1,1,0,1
2026-01-26 07:10:01-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-26 07:42:51-05:30,Rarely,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-26 08:41:43-05:30,2-3 times a week,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,0,1,0,0,0,1,1,0,1,0,0,0
2026-01-26 08:56:20-05:30,Once a week,Four-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,0,0,1,0,1,0,1,0,0,1,0,1,0
2026-01-26 09:19:47-05:30,Rarely,Four-wheeler,10-15 Minutes,Fear of fuel quantity or quality fraud,3.0,Cash,"Yes, but I don’t use it",I prefer Google Maps/other apps,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Maybe,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2026-01-26 09:28:57-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,Cash,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Maybe,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-26 09:43:12-05:30,Once a week,Four-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,0,0,1,1,0,0,1,0,0,1,1,0,0
2026-01-26 09:46:04-05:30,2-3 times a month,Four-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Debit/Credit Card,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Fuel price & quantity transparency,Not sure,1,1,0,0,0,0,0,1,1,0,0,0,0,0
2026-01-26 10:00:35-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,4.0,Cash,"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system,Maybe,1,1,1,0,1,1,0,1,1,1,0,1,1,0
2026-01-26 10:03:36-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"Yes, but I don’t use it",App feels complicated,Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2026-01-26 10:12:45-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system,Definitely Yes,1,1,1,0,1,1,0,1,1,1,0,1,1,0
2026-01-26 10:14:38-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",I prefer Google Maps/other apps,Digital payment with receipt history,Maybe,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2026-01-26 10:28:57-05:30,2-3 times a month,Four-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,Debit/Credit Card,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2026-01-26 10:34:03-05:30,2-3 times a month,Two-wheeler,5-10 Minutes,No clear queue or traffic management,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-26 11:06:48-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Digital payment with receipt history;Loyalty points/rewards,Definitely Yes,0,1,0,1,1,0,0,0,1,0,1,1,0,0
2026-01-26 11:27:36-05:30,2-3 times a week,Four-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"Yes, and I use it",App feels complicated,Nearest petrol pump navigation;Fuel price & quantity transparency,Maybe,1,1,0,0,0,0,0,1,1,0,0,0,0,0
2026-01-26 11:28:20-05:30,2-3 times a week,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,Combination (Depends on situation),"Yes, and I use it",,Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2026-01-26 11:56:52-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Fuel price & quantity transparency,Definitely Yes,1,1,1,0,0,0,1,1,1,1,0,0,0,1
2026-01-26 13:37:17-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Fuel price & quantity transparency,Definitely Yes,1,1,1,0,0,0,0,1,1,1,0,0,0,0
2026-01-26 14:09:22-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Fuel price & quantity transparency,Definitely Yes,1,0,1,0,0,0,0,1,0,1,0,0,0,0
2026-01-26 15:35:40-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,No information about peak hours,2.0,Cash,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Fuel price & quantity transparency,Definitely Yes,1,1,0,0,0,0,0,1,1,0,0,0,0,0
