Timestamp,How often do you visit a petrol pump?,What type of vehicle do you usually refuel? ,"During your last visit, how long did you wait at the petrol pump? ",What problems do you commonly face at petrol pumps? ,How confident are you that you receive the correct fuel quantity? ,Which payment method do you mostly prefer at petrol pumps? ,Are you aware that IndianOil has an official mobile application? ,"If you don’t use the IndianOil app, what is the main reason? ",Which features would you like in a petrol pump mobile app? ,Would you use an IndianOil app if it reduced waiting time and increased transparency? ,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours,Fuel price & quantity transparency,Nearest petrol pump navigation,Live queue/waiting time information,Loyalty points/rewards,Digital payment with receipt history,Complaint & feedback system,Advance slot booking during peak hours
2026-01-26 15:41:28-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,3.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-26 16:00:05-05:30,2-3 times a week,Multiple,5-10 Minutes,Long waiting queues,1.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2026-01-26 16:05:35-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,No information about peak hours,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Loyalty points/rewards,Definitely Yes,0,0,1,1,0,0,1,0,0,1,1,0,0,1
2026-01-26 16:08:24-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,UPI,"No, I wasn’t aware",Didn’t know about it,Loyalty points/rewards,Definitely Yes,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2026-01-26 16:11:17-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",App does not offer useful features,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Loyalty points/rewards,Definitely Yes,0,1,1,1,1,0,0,0,1,1,1,1,0,0
2026-01-26 16:54:53-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-26 17:02:32-05:30,2-3 times a week,Multiple,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Debit/Credit Card,"No, I wasn’t aware",Didn’t know about it,,Definitely Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26 17:23:29-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,3.0,Debit/Credit Card,"Yes, but I don’t use it",I already have my own payment method,Digital payment with receipt history,Probably No,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2026-01-26 19:38:43-05:30,Once a week,Two-wheeler,5-10 Minutes,No clear queue or traffic management,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Loyalty points/rewards,Maybe,0,1,1,1,0,0,1,0,1,1,1,0,0,1
2026-01-26 19:45:09-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"Yes, but I don’t use it",App does not offer useful features,,Not sure,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26 19:49:49-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,Cash,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-26 20:57:45-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Loyalty points/rewards,Maybe,0,1,1,1,1,0,0,0,1,1,1,1,0,0
2026-01-26 22:44:28-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,4.0,UPI,"Yes, but I don’t use it",Didn’t know about it,,Definitely Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26 23:36:12-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency,Definitely Yes,1,1,0,0,1,0,0,1,1,0,0,1,0,0
2026-01-26 23:48:01-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Cash,"Yes, and I use it",Didn’t know about it,Advance slot booking during peak hours;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Maybe,1,0,0,1,0,1,1,1,0,0,1,0,1,1
2026-01-27 00:20:19-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,Cash,"Yes, but I don’t use it",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-27 01:23:06-05:30,Once a week,Four-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,4.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Maybe,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-27 02:21:33-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Not sure,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-27 08:39:32-05:30,Rarely,Multiple,5-10 Minutes,No information about peak hours,4.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Probably No,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-27 09:13:04-05:30,2-3 times a month,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-27 09:17:47-05:30,Once a week,Four-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency,Definitely Yes,1,1,0,0,1,0,0,1,1,0,0,1,0,0
2026-01-27 09:53:16-05:30,Rarely,Multiple,Less Than 5 Minutes,Confusion about payment (cash/UPI/card),4.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Maybe,1,0,0,1,1,0,0,1,0,0,1,1,0,0
2026-01-27 10:04:00-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,5.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,0,1,1,0,0,1,1,0,1,1,0,0,1
2026-01-27 10:49:28-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Definitely Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-27 11:17:32-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Long waiting queues,4.0,Combination (Depends on situation),"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information,Definitely Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-27 11:27:05-05:30,Rarely,Four-wheeler,5-10 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Fuel price & quantity transparency;Complaint & feedback system,Maybe,1,0,1,0,0,1,0,1,0,1,0,0,1,0
2026-01-27 11:41:16-05:30,Once a week,Four-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Cash,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Fuel price & quantity transparency;Loyalty points/rewards,Not sure,1,1,0,1,0,0,0,1,1,0,1,0,0,0
2026-01-27 11:43:16-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Debit/Credit Card,"No, I wasn’t aware",I already have my own payment method,Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Maybe,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2026-01-27 11:44:54-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,1,1,0,0,0,1,1,1,1,0,0,0
2026-01-27 11:44:57-05:30,Daily,Multiple,5-10 Minutes,No information about peak hours,1.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system,Definitely Yes,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2026-01-27 11:58:21-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Digital payment with receipt history,Maybe,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2026-01-27 12:11:07-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,UPI,"No, I wasn’t aware",Didn’t know about it,Loyalty points/rewards,Definitely Yes,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2026-01-27 12:29:42-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",App feels complicated,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-27 13:50:05-05:30,2-3 times a month,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency,Definitely Yes,1,1,1,0,1,0,0,1,1,1,0,1,0,0
2026-01-27 13:53:50-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,1.0,Combination (Depends on situation),"Yes, and I use it",I already have my own payment method,Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,0,1,1,0,1,1,1,0,1,1,0,1
2026-01-27 14:40:23-05:30,2-3 times a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Fuel price & quantity transparency,Maybe,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-27 14:48:03-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Long waiting queues,2.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Nearest petrol pump navigation,Definitely Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-27 16:44:23-05:30,2-3 times a week,Multiple,5-10 Minutes,No information about peak hours,3.0,UPI,"Yes, but I don’t use it",App feels complicated,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2026-01-27 16:49:24-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,No information about peak hours,4.0,Combination (Depends on situation),"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information;Nearest petrol pump navigation;Complaint & feedback system;Loyalty points/rewards,Maybe,0,1,1,1,0,1,0,0,1,1,1,0,1,0
2026-01-27 16:54:30-05:30,2-3 times a month,Four-wheeler,Less Than 5 Minutes,No clear queue or traffic management,5.0,Cash,"Yes, but I don’t use it",I already have my own payment method,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Loyalty points/rewards,Maybe,0,1,1,1,1,0,0,0,1,1,1,1,0,0
2026-01-27 16:56:10-05:30,Once a week,Two-wheeler,5-10 Minutes,Fear of fuel quantity or quality fraud,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Fuel price & quantity transparency;Complaint & feedback system,Definitely Yes,1,1,1,0,0,1,0,1,1,1,0,0,1,0
2026-01-27 16:58:44-05:30,Rarely,Multiple,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,2.0,Cash,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information,Definitely Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2026-01-27 17:00:10-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,3.0,Cash,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-27 17:20:05-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Poor staff behavior or communication,5.0,UPI,"Yes, but I don’t use it",I already have my own payment method,Advance slot booking during peak hours;Loyalty points/rewards,Maybe,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2026-01-27 18:55:05-05:30,Rarely,Four-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Maybe,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-01-28 21:28:03-05:30,Rarely,Commercial vehicle,10-15 Minutes,Fear of fuel quantity or quality fraud,3.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Advance slot booking during peak hours;Nearest petrol pump navigation;Fuel price & quantity transparency,Definitely Yes,1,1,1,0,0,0,1,1,1,1,0,0,0,1
2026-01-28 21:59:35-05:30,Once a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"Yes, but I don’t use it",I prefer Google Maps/other apps,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Definitely Yes,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-28 22:00:25-05:30,2-3 times a month,Four-wheeler,5-10 Minutes,No clear queue or traffic management,3.0,Debit/Credit Card,"No, I wasn’t aware",Don’t trust digital systems at petrol pumps,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Loyalty points/rewards,Maybe,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2026-01-29 13:15:32-05:30,2-3 times a week,Two-wheeler,5-10 Minutes,Long waiting queues,4.0,UPI,"No, I wasn’t aware",App does not offer useful features,Nearest petrol pump navigation,Definitely Yes,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2026-01-29 13:16:28-05:30,Once a week,Four-wheeler,10-15 Minutes,Confusion about payment (cash/UPI/card),4.0,Debit/Credit Card,"No, I wasn’t aware",Don’t trust digital systems at petrol pumps,Fuel price & quantity transparency,Not sure,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-29 14:24:36-05:30,Once a week,Two-wheeler,Less Than 5 Minutes,Fear of fuel quantity or quality fraud,1.0,Combination (Depends on situation),"No, I wasn’t aware",Didn’t know about it,Nearest petrol pump navigation;Digital payment with receipt history;Fuel price & quantity transparency;Complaint & feedback system;Loyalty points/rewards,Definitely Yes,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2026-01-29 14:26:19-05:30,Once a week,Four-wheeler,5-10 Minutes,No information about peak hours,4.0,UPI,"No, I wasn’t aware",Didn’t know about it,Live queue/waiting time information;Nearest petrol pump navigation;Digital payment with receipt history;Complaint & feedback system,Definitely Yes,0,1,1,0,1,1,0,0,1,1,0,1,1,0
